Timestamp,Total_Vehicles,Cars,Trucks,Buses,Bicycles,Motorbikes,FPS
2025-03-19 19:45:44,1,0,1,0,0,0,3.55
2025-03-19 19:45:44,1,0,1,0,0,0,3.51
2025-03-19 19:45:44,0,0,0,0,0,0,3.51
2025-03-19 19:45:45,1,0,0,1,0,0,3.51
2025-03-19 19:45:45,1,0,1,0,0,0,3.51
2025-03-19 19:45:45,1,0,1,0,0,0,3.62
2025-03-19 19:45:46,2,1,1,0,0,0,3.62
2025-03-19 19:45:46,2,1,1,0,0,0,3.62
2025-03-19 19:45:46,3,2,1,0,0,0,3.62
2025-03-19 19:45:47,2,1,1,0,0,0,3.14
2025-03-19 19:45:47,2,1,1,0,0,0,3.14
2025-03-19 19:45:47,4,3,1,0,0,0,3.14
2025-03-19 19:45:47,2,1,1,0,0,0,3.14
2025-03-19 19:45:48,4,3,1,0,0,0,3.43
2025-03-19 19:45:48,4,3,1,0,0,0,3.43
2025-03-19 19:45:48,3,2,1,0,0,0,3.43
2025-03-19 19:45:48,3,2,1,0,0,0,3.43
2025-03-19 19:45:49,2,2,0,0,0,0,3.62
2025-03-19 19:45:49,2,1,1,0,0,0,3.62
2025-03-19 19:45:49,1,0,1,0,0,0,3.62
2025-03-19 19:45:50,1,0,1,0,0,0,3.62
2025-03-19 19:45:50,1,0,1,0,0,0,3.5
2025-03-19 19:45:50,0,0,0,0,0,0,3.5
2025-03-19 19:45:51,0,0,0,0,0,0,3.5
2025-03-19 19:45:51,0,0,0,0,0,0,3.5
2025-03-19 19:45:51,0,0,0,0,0,0,3.19
2025-03-19 19:45:51,0,0,0,0,0,0,3.19
2025-03-19 19:45:52,0,0,0,0,0,0,3.19
2025-03-19 19:45:52,0,0,0,0,0,0,3.19
2025-03-19 19:45:52,0,0,0,0,0,0,3.61
2025-03-19 19:45:53,0,0,0,0,0,0,3.61
2025-03-19 19:45:53,0,0,0,0,0,0,3.61
2025-03-19 19:45:53,0,0,0,0,0,0,3.61
2025-03-19 19:45:53,0,0,0,0,0,0,3.66
